,codes,activities,units,Totals,Small,Medium,Large,Mysore City
635,7dbd76d5c91c3370ef6c8dd3a06d8196,market for blasting,kilogram,521.7699059293373,521.7699059293373,0.0,0.0,182.1457610602859
636,4fe816c92b00c50236a58b9571713573,"market for inductor, ring core choke type",kilogram,700.0338266471734,700.0338266471734,0.0,0.0,0.0
637,ce1d893e504fa1c1ee84b20cc5f6a61a,market for cement factory,unit,0.00046178799682971547,0.0003358283201678153,0.00012595967666190013,0.0,0.000457796879064763
638,a3aa15a09c5ab969b8fd663a1c1bb1c6,market for acetic anhydride,kilogram,32579.536560805376,32579.536560805376,0.0,0.0,29381.425770736172
639,a1b6b5699b6935cd813942aea4bd6ea1,"market for electricity, medium voltage",kilowatt hour,707.2226728262544,0.0,707.2226728262544,0.0,0.0
640,1be0e812732381b0e2644f9fe56c9253,market for aluminium oxide,kilogram,6152710.863857036,1152643.8497342556,0.0,5000067.014122782,983588.6698202088
641,cd1c52a88fc5be045481caf177554f8c,"market for fleece, polyethylene",kilogram,283.79749728939464,283.79749728939464,0.0,0.0,0.0
642,643c67a39577a475e9abb0fafbda24e5,"market for sawnwood, board, softwood, dried (u=10%), planed",cubic meter,1242.089655875092,1242.089655875092,0.0,0.0,1134.7167603118924
643,f59eb71ce814b136ab44587b2684265b,market for waste polyethylene,kilogram,-8690807.181988895,-8690807.181988895,0.0,0.0,-8690513.972282909
644,18b324dfe0b471b64650bc02a7ed4312,"market for zinc coat, coils",square meter,28940.5425795035,10502.642297496872,0.0,18437.90028200662,9566.688920724228
645,2196ca8194e39343dbff9128bcfaf3e0,"market group for heat, central or small-scale, natural gas",megajoule,34198541.699545,34198541.699545,0.0,0.0,34198541.699545
646,0c99965759a56171ae24aed8a6de56bf,"market for electricity, medium voltage, aluminium industry",kilowatt hour,20957347.400904346,20957347.400904346,0.0,0.0,16106577.386678297
647,780f3790e20ce346895375f0001ef436,"market for manure, liquid, cattle",kilogram,516431.99779487215,58415.68513349528,0.0,458016.31266137684,58413.55134014328
648,910cc74878bc4f012fc582c7e5dfdd9e,"market for electricity, high voltage",kilowatt hour,30424.36928636904,29553.25510432554,871.1141820434967,0.0,23118.44815763102
649,6a10d8aa915e12fa3626a51f8e163196,market for carbon disulfide,kilogram,105017.17934400198,105017.17934400198,0.0,0.0,94708.35945714287
650,9efa6db1b548459d076efecc9294c6c2,"market for waste rubber, unspecified",kilogram,-50136.815112611686,-50136.815112611686,0.0,0.0,-50136.815112611686
651,160e001cf020e8bf91ce0f2f7ca539d7,market for ferrite,kilogram,105550818.52663563,26611891.185308278,78938927.34132735,0.0,26611891.185308278
652,407ab6d419c6f95ab7428567b8e6c89b,"market for mine infrastructure, steatite",unit,1.2106054354954566e-05,1.2106054354954566e-05,0.0,0.0,1.2106054354954566e-05
653,8a8ceeffd1737774f88a158c58329c39,"market for building, multi-storey",cubic meter,235.53465908481743,235.53465908481743,0.0,0.0,67.27910776787256
654,75b835c813031007a4be0a644a87a6ae,"market group for electricity, high voltage",kilowatt hour,506381.52181721345,491882.7454899955,14498.776327217873,0.0,384782.17411588226
655,002ebeb1ca3506ef21cf04a01446e8e0,market for zinc,kilogram,205506.6194352543,25308.053055977143,0.0,180198.56637927718,196156.44579354808
656,970c48c1e23eea6578b3c4ee76293ba9,market for sulfuric acid,kilogram,7664345.610638366,1628912.769838577,3332232.398963677,2703200.4418361103,5344532.738124168
657,0f46111a85febb47633058d639dcc84f,market for titanium dioxide,kilogram,1568.3579355487889,1568.3579355487889,0.0,0.0,1568.3579355487889
658,3088b3122ccc7a3b6d269fa4adf971cd,"market for electricity, high voltage",kilowatt hour,25.950921723557606,25.950921723557606,0.0,0.0,25.950921723557606
659,70b6d6f7b22c119e66293ab8b5cefaba,"market for pulpwood, softwood, measured as solid wood under bark",cubic meter,73.42763521279932,73.42763521279932,0.0,0.0,73.42763521279932
660,dd66ca120c00004ae6d0c814cd905924,"market for integrated circuit, logic type",kilogram,101449.80044765554,10143.500477558078,0.0,91306.29997009745,72526.30003508527
661,cf976c77db37cd4c3f1376b8b27c35de,"market for electricity, medium voltage",kilowatt hour,712.1249536047529,0.0,712.1249536047529,0.0,0.0
662,246435ed76a5d4b8c3d9735133576156,"market for oxygen, liquid",kilogram,12540763.71821799,12540763.71821799,0.0,0.0,9660001.285410574
663,9fcb0bbadae579ed9d8fe4465f450769,market for hard coal briquettes factory,unit,0.00017979089395078675,0.00017979089395078675,0.0,0.0,0.00016648058490564564
664,19175fc5f4e8b0a4ae3240a84968d800,market for manganese concentrate,kilogram,37175.90550027717,37175.90550027717,0.0,0.0,33889.56291843859
665,d3938b796c59ba5ebe25d59b2c3872fa,market for light fuel oil,kilogram,74232.47800076035,35550.5494368688,16085.519536328899,22596.40902756268,19618.554011944478
666,15f6314b578b15d95cdc428c358ce40d,market for wastewater from lorry production,cubic meter,-298.57591296949283,0.0,0.0,-298.57591296949283,0.0
667,37f034054cc55e616f8d2fcba2284c99,market for vegetable oil esterification facility,unit,0.0018568560747340267,0.0018568560747340267,0.0,0.0,0.0018568560747340267
668,fd40b28626edef59561f3394155d3ea6,market for hazardous waste incineration facility,unit,0.10738028836740014,0.0010681957057452585,0.0,0.1063120926616549,0.10738028836740014
669,d9f7cee5f68f1ddd0e98640bd968ab13,"market for iron ore, beneficiated, 65% Fe",kilogram,1882.113601367461,1882.113601367461,0.0,0.0,1882.113601367461
